Party and Electorate Candidate Votes Recorded at each polling place
"Te Tai Tokerau 68","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Conservative Party","Democrats for Social Credit","Green Party","Labour Party","Libertarianz","Mana","Māori Party","National Party","New Zealand First Party","United Future","Total Valid Party Votes","Informal Party Votes"
"Silverdale","Stella Maris School, 50 Silverdale Street",0,0,0,0,0,1,2,0,3,2,6,0,0,14,0
"Snells Beach","Mahurangi East Community Centre, 21 Hamatana Road",0,0,0,1,0,2,5,0,1,2,5,1,0,17,0
,"Snells Beach Primary School, 62 Dawson Road",0,0,0,1,0,0,3,0,0,1,1,0,0,6,0
"Stanmore Bay","Hibiscus Coast Leisure Centre, 159 Brightside Road",0,0,0,0,0,3,13,0,6,8,13,7,0,50,1
,"Stanmore Bay School, 30 Waiora Road",0,0,0,0,0,1,5,0,0,5,3,3,0,17,0
"Wainui","Wainui School, 492 Waitoki Road",0,0,0,1,0,0,3,0,1,2,0,1,0,8,0
"Warkworth","Masonic Lodge, Upstairs, 12 Baxter Street",0,0,0,1,0,7,5,0,4,2,8,6,0,33,1
,"Warkworth Methodist Church Hall, 1 Hexham Street",0,0,1,0,0,2,3,0,2,0,6,4,0,18,0
,"Warkworth Primary School, 35 Hill Street",0,0,0,0,0,3,5,0,0,0,2,2,0,12,0
"Whangaparaoa","Whangaparaoa Ratepayers Association Hall, 717 Whangaparaoa Road",0,0,0,1,0,1,16,0,4,4,5,4,0,35,1
,Te Atatū
"Glendene","Glendene School, 60 Barrys Road",0,0,0,0,0,5,63,0,20,13,12,12,0,125,5
,"Tirimoana School, 34 Kokiri Street",0,0,0,0,0,7,20,0,14,10,14,7,0,72,0
"Henderson","Henderson North School, 14 Norval Road",0,0,0,2,0,2,21,0,7,8,2,5,0,47,0
,"Montessori at the Children's House, 1 Clover Drive",0,0,0,0,0,3,9,0,5,1,5,2,0,25,0
,"The Trusts Stadium (Ukulele Festival), Central Park Drive",0,0,0,0,0,7,10,0,4,6,3,5,0,35,0
,"Waitakere College, 42 Rathgar Road",0,0,2,4,0,6,41,1,23,17,10,11,0,115,4
"Lincoln","Lincoln North Kindergarten, 47a Longburn Road",0,0,0,0,0,2,20,0,7,4,2,5,0,40,1
,"Pomaria Primary School, 33a Pomaria Road",0,0,1,0,0,12,53,0,19,22,6,8,0,121,0
"Massey","Lincoln Heights School, 16 Keegan Drive",0,0,2,0,0,4,50,0,13,10,11,10,0,100,7
,"Royal Road School, 112 Royal Road",0,0,0,0,0,5,41,0,16,16,9,14,0,101,4
"Massey West","Don Buck School, 124 Don Buck Road",0,0,1,0,0,2,20,0,7,3,3,6,0,42,0
,"Massey High School, 274 Don Buck Road",1,0,1,0,0,2,34,0,14,15,10,11,0,88,2
"Royal Heights","Colwill School, Kintara Drive",0,0,1,0,0,2,24,0,7,11,3,7,0,55,0
"Te Atatu Peninsula","Congregational Church of Samoa, 472-478 Te Atatu Road",0,0,0,0,0,7,6,0,0,5,4,3,0,25,0
