Party and Electorate Candidate Votes Recorded at each polling place
"Ikaroa-Rawhiti 65","Party Vote Details"
,,"ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Democrats for Social Credit","Family Party","Green Party","Jim Anderton's Progressive","Kiwi Party","Labour Party","Libertarianz","Maori Party","National Party","New Zealand First Party","New Zealand Pacific Party","RAM - Residents Action Movement","The Bill and Ben Party","The Republic of New Zealand Party","United Future","Workers Party","Total Valid Party Votes","Informal Party Votes"
"Haumoana","Haumoana Public Hall, Haumoana Road",0,0,0,0,0,6,0,0,27,0,25,3,0,0,0,0,0,0,0,61,1
"Havelock North","Arataki Holiday Park, 139 Arataki Road",0,0,0,0,0,1,0,0,3,0,2,0,1,0,0,0,0,0,0,7,0
,"Havelock North Central Kindergarten, 20 Napier Road",0,0,0,0,0,0,0,0,5,0,2,2,0,0,0,0,0,0,0,9,0
,"Havelock North High School, 177 Te Mata Road",0,0,0,0,0,0,0,0,7,0,2,1,2,0,0,0,0,0,0,12,0
,"Havelock North Primary School, 9 Campbell Street",1,0,0,0,0,1,0,0,4,0,9,3,1,0,0,0,0,0,0,19,0
,"Lucknow School, 42 Elliott Crescent",0,0,4,0,0,2,0,0,37,0,17,2,5,0,0,1,0,0,0,68,0
,"Our Lady of Lourdes Parish Hall, St Hill Lane",0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,6,0
,"St Columbas Hall, Te Mata Road",0,0,1,0,0,0,0,0,5,0,14,6,2,0,0,0,0,0,0,28,0
"Mahora","Aubyn Theatre, St Aubyn Street West",0,0,0,0,2,1,0,0,41,0,18,2,5,0,0,1,0,0,0,70,2
,"Mahora School, 710 Frederick Street",2,0,6,0,0,10,0,0,100,0,46,7,1,0,0,0,0,0,0,172,10
"Mangateretere","Mangateretere School, Main Road",0,0,1,0,0,1,0,0,43,0,52,1,7,0,0,0,0,0,0,105,0
"Maraekakaho","Maraekakaho School, 68 Kereru Road",0,0,0,0,0,1,1,0,2,0,0,2,0,0,0,0,0,0,0,6,0
"Mayfair","Karamu High School, corner Windsor Avenue & Grove Road",0,0,1,0,1,3,0,0,67,0,29,5,2,0,0,0,0,0,0,108,1
,"Mayfair School, Willowpark Road North",0,0,2,0,0,2,0,0,90,0,45,10,6,0,0,3,0,1,0,159,4
"Omahu","Omahu School, 22 Taihape Road",0,0,1,0,0,0,0,0,53,1,56,2,3,0,0,0,0,0,0,116,4
"Onga Onga","Onga Onga School, 51 Mill Street",0,0,0,0,0,0,0,0,4,0,2,1,1,0,0,0,0,0,0,8,1
"Otane","Otane School, Higginson Street",0,0,0,0,1,1,0,0,35,0,23,4,1,0,0,0,1,0,0,66,1
"Pakipaki","Pakipaki School, 316 Pakipaki Road",0,1,1,0,0,1,0,0,21,0,25,0,3,0,0,0,0,0,0,52,1
"Pakowhai","Pakowhai School, 25 Chesterhope Road",0,0,0,0,0,0,0,0,10,0,2,3,1,0,0,0,0,0,0,16,0
"Parkvale","Gordon Black Hall, 912 Queen Street East",0,0,0,0,0,1,0,0,13,0,2,2,1,0,0,1,0,0,0,20,1
,"Parkvale Kindergarten, 108 Park Road South",0,0,0,0,0,1,0,0,22,0,11,4,0,0,0,0,0,0,0,38,0
,"Parkvale School Hall, Howard Street",1,0,0,0,1,5,1,0,20,0,9,5,6,0,0,0,0,0,0,48,0
,"Takitimu Performing Arts School, 706 Albert Street",0,0,1,0,0,1,0,0,20,0,13,1,0,0,0,0,0,0,0,36,1
"Poukawa","Poukawa School, 107 Poukawa Road",0,0,0,0,0,0,0,0,3,0,1,2,0,0,0,0,0,0,0,6,0
"Pukahu","Riverbend Bible Church, 354 Te Aute Road",1,0,0,0,0,0,0,0,4,0,4,0,1,0,0,1,0,0,0,11,0
"Pukehamoamoa","Pukehamoamoa School, 11 Matapiro Road",0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,1,0,0,0,6,0
"Pukehou","Pukehou School, State Highway 2",0,0,0,0,0,2,0,0,12,0,15,0,0,0,0,0,0,0,0,29,0
"Raureka","Ebbett Park School, 600 Oliphant Road",0,0,0,1,0,5,0,0,87,0,22,0,4,0,0,1,0,0,1,121,4
,"Raureka School Hall, 916 Gordon Road",0,1,2,0,0,2,0,0,40,0,35,6,7,0,0,1,0,0,0,94,0
"Te Awanga","Te Awanga Community Centre, Wellwood Terrace",0,0,0,0,0,1,0,0,11,0,6,1,2,0,0,0,0,0,0,21,0
"Te Hauke","Te Hauke School, Burma Road",0,0,0,0,0,0,0,0,28,0,14,1,2,0,0,0,0,0,0,45,1
"Twyford","Twyford School, 142 Twyford Road",0,0,0,0,0,2,0,0,4,0,1,1,0,0,0,0,0,0,0,8,2
"Waimarama","Waimarama Memorial Hall, Waimarama Road",0,0,0,0,0,0,0,0,17,0,19,5,3,0,0,0,0,0,0,44,0
,Wairarapa
"Carterton","Carterton Kindergarten, 3 Victoria Street",1,0,1,0,0,1,0,0,17,0,7,0,4,0,0,0,0,0,0,31,0
,"Carterton School, Holloway Street",1,0,1,0,0,1,0,0,16,0,12,3,3,0,0,0,0,0,0,37,0
,"Parkvale Hall, 10 Kokotau Road",0,0,0,0,0,1,0,0,4,0,0,2,1,0,0,0,0,0,0,8,0
,"South End School, 275 High Street South",0,0,0,0,0,0,0,0,16,0,6,1,4,0,0,0,0,0,0,27,0
