Party and Electorate Candidate Votes Recorded at each polling place
"Tainui 64","Party Vote Details"
,,"99 MP Party","ACT New Zealand","Alliance","Aotearoa Legalise Cannabis Party","Christian Heritage NZ","Democrats for Social Credit","Destiny New Zealand","Direct Democracy Party","Green Party","Jim Anderton's Progressive","Labour Party","Libertarianz","Mâori Party","National Party","New Zealand Family Rights Protection Party","New Zealand First Party","OneNZ Party","The Republic of New Zealand Party","United Future New Zealand","Total Valid Party Votes","Informal Party Votes"
,Auckland Central
,"St Andrews Middle School, Heath Street",0,0,0,1,0,0,1,0,3,0,79,0,25,3,0,2,0,0,0,114,2
,"Vardon School, 36 Cunningham Road",0,0,0,0,0,0,2,0,2,1,33,0,14,3,0,2,0,0,0,57,1
"Te Kowhai","Te Kowhai School, Horotiu Road",0,0,0,1,0,0,4,0,0,0,10,0,7,5,0,2,0,0,0,29,0
"Temple View","Church College of New Zealand",0,1,0,1,0,1,3,0,1,2,76,0,56,16,0,59,0,0,5,221,0
"Whatawhata","Whatawhata School, School Road",0,0,0,0,0,0,4,0,0,0,42,0,19,1,0,3,0,0,1,70,0
"Whitiora","Whitiora School, Willoughby Street",0,0,0,2,0,0,2,0,3,1,63,0,34,4,0,4,0,0,1,114,4
,Piako
"Cambridge","Cambridge East School, Williams Street",0,0,0,1,0,0,1,0,2,0,20,0,9,4,0,3,0,0,0,40,0
,"Cambridge Middle School, Clare Street",0,1,0,0,0,0,1,0,0,0,11,0,3,2,0,2,0,0,0,20,0
,"Cambridge Primary School, Wilson St",0,0,0,0,0,0,0,0,1,0,17,0,7,5,0,2,0,0,0,32,2
,"Leamington School, 249 Lamb Street",0,0,0,2,0,0,1,0,2,0,52,0,17,3,0,5,0,0,0,82,1
,"Raleigh St Christian Centre, 24 Raleigh Street",0,0,0,1,0,0,0,0,0,0,24,0,10,3,0,3,0,0,0,41,1
"Fencourt","Goodwood School, 517 Fencourt Road",0,0,0,0,0,0,0,0,1,0,1,0,3,3,0,1,0,0,0,9,1
"Glen Massey","Glen Massey School, 897 Waingaro Road",0,0,0,0,1,0,0,0,0,0,17,0,2,1,0,2,0,0,0,23,0
"Hautapu","Hautapu School, Forrest/Hautapu Roads",0,0,0,0,0,0,0,0,0,0,5,0,1,1,0,3,0,0,0,10,0
"Hinuera","Hinuera School, Hinuera Road, RD 2",0,1,0,0,0,0,0,0,1,0,26,0,8,1,0,1,0,0,0,38,3
"Horotiu","Horotiu School, Hinton Rd, RD8 ",0,0,0,1,0,0,0,0,3,0,32,0,19,2,0,2,0,0,0,59,0
"Huntly","Civic Centre (Riverside Room) 148 Main St",0,0,0,0,0,0,0,0,4,0,79,0,23,1,0,3,0,0,0,110,2
,"Kimihia School, Tamihana Avenue",0,0,0,0,0,0,1,0,0,0,30,0,6,1,1,0,0,0,0,39,1
