Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Hauauru 67","Candidate Vote Details"
,,"MASON, Errol Turuki","TURIA, Tariana","Total Valid Candidate Votes","Informal Candidate Votes"
"Westmere","Westmere Primary School Hall, Rapanui Road",7,4,11,1
"Whenuakura","Whenuakura School, Room 2, 52 Kaharoa Road",0,6,6,0
,"Polling places where less than 6 votes were taken",48,148,196,16
,"Hospital Votes",18,48,66,3
,"Ordinary Votes BEFORE polling day",403,998,1401,50
,"Special Votes BEFORE polling day",55,184,239,12
,"Special Votes On polling day",408,1104,1512,38
,"Overseas Special Votes including defence force",29,82,111,2
,"Te Tai Hauauru Total",5589,13406,18995,676
,,,"Valid Candidate Votes plus Informal Candidate Votes",19671
"Electorate Candidate Valid Votes","Party",,"TURIA, Tariana - majority 7817"
"MASON, Errol Turuki",Labour Party,5589,.2942353251
"TURIA, Tariana",Maori Party,13406,.7057646749
