Electorate Candidate Votes Recorded at Each Voting Place
"Ikaroa-Rāwhiti 66","Candidate Vote Details"
,,"EDEN, Cathryn","FOX, Marama Kahu","KANI, Henare Matua","NIKORA, Shane Brisbane","ROSE, Victoria Maree","WHAITIRI, Meka","Total Valid Candidate Votes","Informal Candidate Votes"
,"Takitimu Performing Arts School, 706 Albert Street",1,9,6,11,0,29,56,1
"Poukawa","Poukawa School, 107 Poukawa Road",0,5,1,0,1,6,13,0
"Pukehou","Pukehou School, 174 State Highway 2",0,9,0,2,0,14,25,0
"Raureka","Ebbett Park School Hall, 600 Oliphant Road",1,16,7,25,0,61,110,1
,"Raureka School Hall, 916 Gordon Road",1,25,12,46,2,74,160,5
"Te Awanga","Te Awanga Community Centre, 1 Wellwood Terrace",0,4,6,2,0,7,19,0
"Tikokino","Tikokino School, 43 Owen Street",1,2,2,0,0,1,6,0
"Twyford","Twyford School, 142 Twyford Road",1,0,2,9,0,4,16,4
"Waimarama","Mr Huggett's Garage, Redbridge, 585 Waimarama Road",0,0,1,2,0,5,8,1
,"Waimarama School, 27 Taupunga Road",0,9,11,8,0,14,42,0
,Wairarapa
"Carterton","Carterton Kindergarten, 3 Victoria Street",0,18,1,6,0,10,35,2
,"Carterton School Hall, corner Holloway & Dixon Streets",0,10,6,5,0,12,33,2
,"South End School, 275 High Street South",0,13,5,1,0,11,30,0
"Dannevirke","Dannevirke High School Canteen, Grant Street",0,3,2,2,0,6,13,0
,"Dannevirke South School Hall, corner Stairs & Hunter Streets",3,1,11,6,0,26,47,0
,"Dannevirke Sports Centre, Anderson Street",1,5,6,3,0,7,22,1
,"Huia Range School, corner Cole & High Streets",2,14,17,12,0,44,89,3
,"The Hub, Allardice Street",1,9,20,6,0,31,67,4
,"Totara College, 3 Ruahine Street",1,4,4,1,0,9,19,0
"Eketahuna","Eketahuna School, Albert Street",2,14,5,0,0,11,32,0
"Featherston","Featherston School Hall, corner Lyons & Revans Streets",0,12,7,6,0,27,52,3
"Gladstone","Gladstone School Hall, Te Whiti Road",1,9,0,0,0,1,11,0
"Greytown","Greytown School Hall, East Street",0,21,6,2,0,19,48,0
,"Kuranui College Student Centre, Bidwells Cutting Road",0,5,3,0,1,3,12,0
"Martinborough","Martinborough School Hall, 14 Dublin Street",0,21,10,1,2,24,58,1
"Masterton","Chanel College Hall, 26 Herbert Street",0,6,2,4,0,8,20,0
,"Courthouse, 41 Dixon Street",0,19,5,4,0,16,44,2
,"Douglas Park School Hall, 136 Cole Street",0,8,2,1,0,4,15,1
,"Fernridge School Hall, 264 Upper Plain Road",0,6,0,0,0,1,7,0
,"IDEA Services (IHC Centre), 46 Bentley Street",1,7,0,0,0,7,15,0
,"Lakeview School Hall, corner Te Ore Ore & Colombo Roads",0,45,12,5,0,48,110,1
,"Makoura College Students Centre, corner Makora Road & Johnstone Street",0,42,5,16,0,47,110,1
,"Masterton Intermediate School Hall, 38 Intermediate Street",1,16,4,9,0,15,45,3
,"Solway School Hall, 318 Ngaumutawa Road",0,20,2,0,0,12,34,0
,"Town Hall, 64 Chapel Street",2,39,13,7,0,27,88,1
,"Westside Playcentre, corner Renall Street & Ngaumutawa Road",0,7,2,4,0,8,21,2
"Norsewood","Norsewood School, Coronation Street",0,1,4,0,0,10,15,1
"Omakere","Omakere School, 46 Long Range Road",0,1,0,2,0,2,5,1
"Pahiatua","Pahiatua School Hall, corner Albert Street & Mangahao Road",0,5,1,2,0,8,16,1
,"Tararua District Council Chambers, 136 Main Street",1,9,2,2,0,17,31,2
"Pirinoa","Pirinoa School, Lake Ferry Road",0,21,4,0,0,3,28,0
"Pongaroa","Pongaroa School, 9 Makomako Street",1,3,1,2,0,3,10,0
"Porangahau","Porangahau School, Keppel Street",1,16,22,3,0,16,58,2
"Takapau","Takapau School Hall (Nancy Street entrance)",1,8,10,5,0,21,45,2
"Waipawa","Central Hawkes Bay District Council Chambers, 28-32 Ruataniwha Street",0,14,6,7,0,16,43,1
,"Waipawa School, Technology Block, 6 Harker Street",1,6,4,6,0,38,55,3
"Waipukurau","Central Hawkes Bay College Library, 45 Tavistock Road",1,9,5,10,0,29,54,0
,"The Terrace School Staffroom, 164 Porangahau Road",1,8,8,9,0,24,50,2
,"Waipukurau School Hall, St Marys Road",1,11,10,7,0,25,54,2
"Woodville","Woodville School Hall, Vogel Street",1,16,6,5,0,46,74,2
