Electorate Candidate and Party Votes Recorded at Each Polling Place
"Te Tai Tokerau 67","Candidate Vote Details"
,,"DANIELS, Judy","HARAWIRA, Hone Pani Tamati Waka Nene","MANGU, Mere Maryann","MAXWELL, Hana Harriett","MORTON, Patrick Ernest","SAMUELS, Dover Spencer Peneha","Total Valid Candidate Votes","Informal Candidate Votes"
"Te Kopuru","Te Kopuru School, Te Kopuru",1,30,4,0,0,11,46,2
"Te Tii","Te Tii School, Te Tii - Purerua Rd, ",2,24,4,0,1,15,46,1
"Tinopai","Tinopai School, Tinopai Rd",2,12,1,1,1,16,33,1
"Titoki","Mangakahia Area School, Mangakahia Rd",1,16,2,1,0,13,33,1
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Rd",2,69,2,1,1,15,90,3
"Totara North","Totara North School, School Rd ",1,4,1,0,0,8,14,3
"Umawera","Umawera School, SH 1",1,14,1,0,0,6,22,1
"Victoria Valley, Kaitaia","War Memorial Hall, Victoria Valley Rd",0,8,1,0,1,2,12,0
"Waiharara","Waiharara School, Katavich Rd",0,8,1,0,2,12,23,1
"Waikare","Te Kura o Waikare, School Road, Waikare",1,9,5,0,2,20,37,2
"Waima","Waima School, SH12",0,42,5,0,0,20,67,2
"Waimamaku","Waimamaku Community Trust, SH 12",3,22,9,0,1,18,53,2
"Waimate North ","Christian School, 421 Te Ahu Ahu Rd",1,12,3,0,0,15,31,1
"Waipapa","Waipapa Hall, Waipapa Loop Rd",3,19,5,0,1,14,42,1
"Waipapakauri","Paparore School, 157 West Coast Rd",0,19,1,0,1,3,24,1
"Whakapara","Whakapara Hall, Whakapara Rd",0,22,5,0,0,2,29,3
"Whananaki","Whananaki School, North Rd",0,22,3,1,0,2,28,0
"Whangaroa","Whangaroa Hall, 574 Whangaroa Rd",0,4,0,0,0,8,12,1
"Whirinaki","Pa Te Aroha Marae, SH12",1,27,10,0,0,21,59,1
,Rodney
"Dairy Flat","Dairy Flat School, 1220 State Highway 1",1,5,0,2,1,10,19,0
"East Coast Bays","East Coast Bays Bible Baptist Church, 1092 East Coast Bays Rd",0,4,0,0,1,3,8,1
"Gulf Harbour","Gulf Harbour School, 65 Alec Craig Way",1,6,2,1,1,7,18,0
"Leigh","Leigh School, 26 Hauraki Road",1,16,1,0,1,12,31,0
