Electorate Candidate and Party Votes Recorded at Each Polling Place
"Tamaki Makaurau 65","Candidate Vote Details"
,,"HEMAHEMA-TAMATI, Sophie Tauwehe","OPAI, Eugene Ashley","REREKURA, Tekaioroto Samuel","SHARPLES, Pita Russell","TAMIHERE, John Henry","Total Valid Candidate Votes","Informal Candidate Votes"
,Auckland Central
,"School Hall, 126-160 St Heliers Bay Road",0,0,1,14,7,22,1
,Te Atatu
"Kelston","Kelston Boys High School, Archibald Road",0,0,1,30,34,65,1
,"Kelston Girls College Music Suite, 1 Archibald Road",0,0,3,21,8,32,0
,"St Leonards Road School Hall, 15 St Leonards Road",2,0,1,25,27,55,0
,Waitakere
"Bethells Valley","Fire Station, Bethells Road",0,0,0,8,4,12,0
"Glen Eden","Catholic Church Hall, 7 Glendale Road",1,0,2,27,29,59,2
,"Glen Eden Baptist Church Hall, 97 Glendale Road",2,0,3,29,32,66,3
,"Glen Eden School Hall, 3 Glenview Road",3,0,1,22,24,50,2
,"Prospect School Hall, Rosier Road",2,1,1,42,38,84,3
,"Te Kura Kaupapa Maori o Hoani Waititi Marae, 441 West Coast Road",1,0,0,60,7,68,0
"Henderson Valley","Henderson Valley School, 389 Henderson Valley Rd",1,0,1,7,10,19,2
"Oratia","Oratia School (cnr Shaw and West Coast Roads)",0,1,0,11,11,23,2
"Piha","Barnett Hall, Marine Parade",0,0,1,8,5,14,0
"Titirangi","Kaurilands School Hall, Atkinson Road",2,0,2,15,32,51,0
,"Konini School Hall, Withers Road",3,1,0,9,15,28,1
,"MacAndrew Hall, 337 Titirangi Road",1,1,0,3,8,13,0
"Waiatarua","Waiatarua Community Hall, 911 West Coast Road",0,0,0,4,4,8,0
,"Polling places where less than 6 votes were taken",3,1,0,42,35,81,0
,"Hospital Votes",0,1,0,13,21,35,1
,"Ordinary Votes BEFORE polling day",26,3,22,451,345,847,22
,"Special Votes BEFORE polling day",9,1,1,101,80,192,5
,"Special Votes On polling day",45,8,50,1298,793,2194,43
,"Overseas Special Votes including defence force",11,0,1,41,63,116,2
,"Tamaki Makaurau Total",675,57,494,10024,7897,19147,363
,,,,,,"Valid Candidate Votes plus Informal Candidate Votes",19510
"Electorate Candidate Valid Votes","Party",,"SHARPLES, Pita Russell - majority 2127"
"HEMAHEMA-TAMATI, Sophie Tauwehe",Destiny New Zealand,675,.0352535645
"OPAI, Eugene Ashley",Direct Democracy Party,57,.0029769677
"REREKURA, Tekaioroto Samuel",Independent,494,.0258003865
"SHARPLES, Pita Russell",Mâori Party,10024,.5235284901
"TAMIHERE, John Henry",Labour Party,7897,.4124405912
