Electorate Candidate Votes Recorded at Each Voting Place
"Te Tai Tokerau 69","Candidate Vote Details"
,,"DAVIS, Kelvin Glen","DEARLOVE, Clinton","HARAWIRA, Hone Pani Tamati Waka Nene","PAENGA, Te Hira Keretene Te Whakaiti","Total Valid Candidate Votes","Informal Candidate Votes"
"Rawhiti","Rawhiti Kohanga Reo, Te Rawhiti Marae, 221  Rawhiti Road ",7,0,18,2,27,2
"Ruawai","Ruawai Primary School, Main Road",20,0,10,2,32,3
"Russell","Russell School, Baker Street",40,5,22,1,68,3
"Taheke","Taheke Health Centre, 3735 Horeke Road",10,1,34,3,48,0
"Taipa","Taipa Area School, 578 State Highway 10",46,1,46,6,99,1
"Takahue","Takahue Community Hall, Takahue Saddle Road",7,0,7,1,15,0
"Tangiteroria","Tangiteroria Primary School, 3078 State Highway 14",4,0,5,2,11,0
"Taupo Bay","Taupo Bay Holiday Park, Taupo Bay Road",5,0,8,1,14,1
"Tautoro","Tautoro School, Mangakahia Road",9,0,17,2,28,0
"Te Hapua","Te Hapua School, 14 Waharua Road",11,1,21,0,33,4
"Te Iringa","Te Iringa Marae, Waimatenui Road",19,1,11,0,31,0
"Te Kao","Te Kao Area School, 6603 Far North Road",27,0,49,7,83,0
"Te Kopuru","Te Kopuru School, Norton Street",23,0,12,5,40,0
"Te Tii","Te Tii School, Purerua Road",12,0,18,5,35,2
"Tinopai","Tinopai Primary School, Tinopai Road",15,0,12,1,28,0
"Titoki","Mangakahia Area School, Mangakahia Road",13,0,20,5,38,0
"Tokerau Beach","Kura Kaupapa Rangiawhia School, Inland Road",43,1,46,1,91,2
"Totara North","Totara North Hall, 4 School Road",15,1,7,3,26,1
"Umawera","Umawera School, State Highway 1",5,0,4,2,11,0
"Victoria Valley","Victoria Valley War Memorial Hall, Victoria Valley Road",1,0,8,0,9,0
"Waiharara","Waiharara School, Katavich Road",23,1,12,1,37,0
"Waikare","Te Kura o Waikare, School Road",23,0,6,2,31,0
"Waima","Waima School, State Highway 12",19,1,31,2,53,1
"Waimamaku","Waimamaku Hall, State Highway 12",28,0,31,4,63,2
"Waimate North","Sunday School, Te Ahu Ahu Road",12,0,5,0,17,0
"Waipapa","Waipapa Hall, Waipapa Loop Road",37,2,13,10,62,0
"Waipapakauri","Paparore School, 157 West Coast Road",18,0,13,0,31,0
"Wellsford","Wellsford School, 47 School Road",31,2,26,17,76,1
"Whakapara","Whakapara Hall, McLennan Road",14,0,18,7,39,0
"Whananaki","Whananaki School, Whananaki North Road",12,0,6,1,19,2
"Whangaroa","Whangaroa Hall, Whangaroa Road",5,0,6,1,12,1
"Whirinaki","Te Kura Kaupapa Māori o Te Tonga o Hokianga, School Road",20,0,30,2,52,1
,Rodney
"Gulf Harbour","Gulf Harbour School, 65 Alec Craig Way",8,0,4,1,13,0
,"Wentworth College, 65 Gulf Harbour Drive",5,0,1,3,9,0
"Leigh","Leigh School, House of Learning, 22 Hauraki Road",12,1,9,2,24,0
"Manly","Manly Methodist Church, 945 Whangaparaoa Road",7,1,4,8,20,0
,"Whangaparaoa Primary School, 39 Ladies Mile",8,1,5,5,19,1
"Matakana","Matakana School, 952 Matakana Road",8,1,6,5,20,1
"Orewa","Orewa College, 76 Riverside Road",12,0,2,3,17,1
,"Orewa Community Centre, Main Hall, 368 Hibiscus Coast Highway",15,3,9,10,37,0
,"Orewa North School, 280 Centreway Road",13,0,2,5,20,0
,"Orewa Primary School, 86 Maire Road",6,0,1,2,9,0
"Point Wells","Point Wells Community Hall, 5 Point Wells Road",5,1,0,0,6,0
"Puhoi","Puhoi Centennial Hall, 86 Puhoi Road",6,2,3,3,14,0
"Red Beach","Red Beach Methodist Church, 76 Red Beach Road",12,3,2,2,19,3
,"Red Beach School, 20 Albert Hall Drive",7,0,5,4,16,0
"Silverdale","Silverdale Primary School Library, 4 Longmore Lane",4,1,2,3,10,0
,"Stella Maris School, 50 Silverdale Street",7,1,5,2,15,0
"Snells Beach","Mahurangi East Community Centre, 21 Hamatana Road",8,0,2,1,11,1
"Stanmore Bay","Stanmore Bay Pool and Leisure Centre, 159 Brightside Road",17,4,7,5,33,3
,"Stanmore Bay School, 30 Waiora Road",12,0,11,10,33,2
"Warkworth","Masonic Lodge, above Westpac Bank, 12 Baxter Street",22,2,4,10,38,0
,"Warkworth Methodist Church Hall, 1 Hexham Street",8,1,6,5,20,0
,"Warkworth Primary School, 35 Hill Street",9,0,6,2,17,1
"Whangaparaoa","Whangaparaoa Ratepayers Association Hall, 717 Whangaparaoa Road",14,1,5,6,26,1
,Te Atatū
"Henderson","Henderson High School, 31 Henderson Valley Road",33,0,20,14,67,1
,"Henderson North School, 14 Norval Road",20,1,16,14,51,2
,"Henderson Primary School, 13 Montel Avenue",20,1,13,8,42,0
,"Henderson South School, 24 Garelja Road",23,1,16,6,46,0
,"Montessori at the Children's House, 1 Clover Drive",9,1,2,3,15,0
,"Summerland School, 62 Summerland Drive",18,1,14,12,45,1
,"The Church of Jesus Christ of Latter-Day Saints, 7 Harvest Drive",8,2,11,6,27,0
,"Waitakere College, 42 Rathgar Road",34,0,28,11,73,2
,"Western Heights School, 126 Sturges Road",32,1,24,14,71,3
